X_Value,Voltage_0,Voltage_1
0.219,-1.515806,-1.303814
0.22,-1.539259,-1.238143
0.221,-1.563676,-1.169897
0.222,-1.589057,-1.145431
0.223,-1.610582,-1.091671
0.224,-1.636284,-1.072034
0.225,-1.661023,-1.114527
0.226,-1.685761,-1.15702
0.227,-1.709214,-1.209814
0.228,-1.734274,-1.296732
0.229,-1.758691,-1.446101
0.23,-1.783108,-1.522717
0.231,-1.804312,-1.590964
0.232,-1.830335,-1.692045
0.233,-1.853788,-1.729388
0.234,-1.876599,-1.71458
0.235,-1.901337,-1.712648
0.236,-1.921578,-1.688504
0.237,-1.948886,-1.600943
0.238,-1.969127,-1.552656
0.239,-1.995471,-1.534628
0.24,-2.020852,-1.48119
0.241,-2.042057,-1.477649
0.242,-2.071293,-1.542998
0.243,-2.094425,-1.56521
0.244,-2.120448,-1.635066
0.245,-2.144865,-1.746127
0.246,-2.167355,-1.8691
0.247,-2.187916,-1.940565
0.248,-2.21394,-2.038106
0.249,-2.238035,-2.106353
0.25,-2.259882,-2.113757
0.251,-2.285263,-2.122127
0.252,-2.309359,-2.114079
0.253,-2.335704,-2.07577
0.254,-2.35498,-1.972435
0.255,-2.374578,-1.945072
0.256,-2.400923,-1.924791
0.257,-2.426304,-1.868778
0.258,-2.452006,-1.884552
0.259,-2.47803,-1.944106
0.26,-2.500519,-1.994969
0.261,-2.524615,-2.065791
0.262,-2.54357,-2.200674
0.263,-2.570236,-2.295962
0.264,-2.594653,-2.36453
0.265,-2.6165,-2.46851
0.266,-2.639953,-2.52227
0.267,-2.668547,-2.500702
0.268,-2.690073,-2.527743
0.269,-2.714811,-2.503599
0.27,-2.736979,-2.438571
0.271,-2.759148,-2.368715
0.272,-2.784207,-2.342962
0.273,-2.810873,-2.292099
0.274,-2.835612,-2.27053
0.275,-2.865169,-2.315599
0.276,-2.889586,-2.357448
0.277,-2.913682,-2.410565
0.278,-2.94324,-2.496839
0.279,-2.9683,-2.64653
0.28,-2.994644,-2.72701
0.281,-3.006853,-2.794291
0.282,-3.006532,-2.893764
0.283,-3.006532,-2.924346
0.284,-3.006532,-2.905031
0.285,-2.994002,-2.897627
0.286,-2.964765,-2.861894
0.287,-2.939063,-2.759202
0.288,-2.917216,-2.693852
0.289,-2.887016,-2.65651
0.29,-2.859386,-2.580537
0.291,-2.833363,-2.549955
0.292,-2.807982,-2.591482
0.293,-2.785171,-2.587297
0.294,-2.759148,-2.628181
0.295,-2.736016,-2.709948
0.296,-2.710313,-2.800085
0.297,-2.685896,-2.841935
0.298,-2.662122,-2.907606
0.299,-2.638026,-2.945592
0.3,-2.606862,-2.911791
0.301,-2.587264,-2.882175
0.302,-2.564775,-2.838716
0.303,-2.540357,-2.762099
0.304,-2.519796,-2.620777
0.305,-2.49313,-2.55414
0.306,-2.470961,-2.496839
0.307,-2.446866,-2.399297
0.308,-2.421163,-2.372578
0.309,-2.398674,-2.392537
0.31,-2.377791,-2.399297
0.311,-2.355302,-2.427626
0.312,-2.327993,-2.519695
0.313,-2.305182,-2.574099
0.314,-2.283014,-2.598243
0.315,-2.258276,-2.657154
0.316,-2.232253,-2.666489
0.317,-2.208157,-2.604037
0.318,-2.185025,-2.584722
0.319,-2.16125,-2.518729
0.32,-2.137797,-2.409599
0.321,-2.116272,-2.29725
0.322,-2.091854,-2.224496
0.323,-2.067759,-2.131462
0.324,-2.040129,-2.063538
0.325,-2.014106,-2.06064
0.326,-1.991616,-2.054202
0.327,-1.966557,-2.059996
0.328,-1.943425,-2.098627
0.329,-1.919329,-2.201962
0.33,-1.897482,-2.236407
0.331,-1.872744,-2.256688
0.332,-1.850254,-2.313667
0.333,-1.825195,-2.299181
0.334,-1.801099,-2.239626
0.335,-1.777646,-2.189729
0.336,-1.748731,-2.123092
0.337,-1.725278,-1.986277
0.338,-1.702789,-1.889702
0.339,-1.680299,-1.825963
0.34,-1.656525,-1.726812
0.341,-1.637891,-1.675628
0.342,-1.610582,-1.691724
0.343,-1.583916,-1.666292
0.344,-1.560463,-1.688826
0.345,-1.537653,-1.751922
0.346,-1.510665,-1.825319
0.347,-1.487855,-1.851072
0.348,-1.465044,-1.901291
0.349,-1.445125,-1.927045
0.35,-1.417174,-1.886483
0.351,-1.39597,-1.844956
0.352,-1.369304,-1.788942
0.353,-1.347457,-1.702669
0.354,-1.321434,-1.55169
0.355,-1.294447,-1.47443
0.356,-1.271636,-1.409725
0.357,-1.249789,-1.300595
0.358,-1.228585,-1.271622
0.359,-1.203204,-1.284499
0.36,-1.182642,-1.285787
0.361,-1.158225,-1.307355
0.362,-1.133487,-1.39556
0.363,-1.1065,-1.444492
0.364,-1.083047,-1.46606
0.365,-1.060236,-1.522395
0.366,-1.033249,-1.526902
0.367,-1.012045,-1.459622
0.368,-0.988592,-1.434512
0.369,-0.966745,-1.367232
0.37,-0.939758,-1.254561
0.371,-0.918554,-1.136418
0.372,-0.88739,-1.061411
0.373,-0.865222,-0.963871
0.374,-0.83952,-0.893371
0.375,-0.817673,-0.88983
0.376,-0.79679,-0.882426
0.377,-0.771731,-0.886933
0.378,-0.746992,-0.923953
0.379,-0.722576,-1.023425
0.38,-0.69848,-1.058192
0.381,-0.677276,-1.07461
0.382,-0.649325,-1.130945
0.383,-0.626835,-1.119678
0.384,-0.603061,-1.054651
0.385,-0.578644,-1.00572
0.386,-0.553906,-0.93683
0.387,-0.534629,-0.799693
0.388,-0.506678,-0.701187
0.389,-0.480012,-0.637126
0.39,-0.457844,-0.536688
0.391,-0.430857,-0.481962
0.392,-0.408689,-0.49838
0.393,-0.382666,-0.473592
0.394,-0.362104,-0.494517
0.395,-0.33833,-0.554715
0.396,-0.315198,-0.628756
0.397,-0.290139,-0.655153
0.398,-0.266685,-0.704406
0.399,-0.246445,-0.729194
0.4,-0.220743,-0.687988
0.401,-0.192471,-0.646461
0.402,-0.168054,-0.591736
0.403,-0.142673,-0.504496
0.404,-0.120505,-0.354805
0.405,-0.098658,-0.279799
0.406,-0.071992,-0.215094
0.407,-0.050467,-0.104677
0.408,-0.027014,-0.073773
0.409,-0.003239,-0.086006
0.41,0.023179,-0.087937
0.411,0.044789,-0.109505
0.412,0.069946,-0.195457
0.413,0.097361,-0.24632
0.414,0.12026,-0.266278
0.415,0.146707,-0.321004
0.416,0.169284,-0.325833
0.417,0.191861,-0.257909
0.418,0.218631,-0.235696
0.419,0.241853,-0.165841
0.42,0.26701,-0.054136
0.421,0.287975,0.064098
0.422,0.312809,0.13942
0.423,0.335064,0.235344
0.424,0.358608,0.305194
0.425,0.385378,0.310023
0.426,0.410858,0.319358
0.427,0.43666,0.314529
0.428,0.459237,0.279121
0.429,0.481814,0.179013
0.43,0.506326,0.143927
0.431,0.527613,0.127832
0.432,0.553737,0.068282
0.433,0.578572,0.083089
0.434,0.599859,0.144249
0.435,0.626629,0.194786
0.436,0.651786,0.263992
0.437,0.677265,0.40144
0.438,0.698552,0.501226
0.439,0.719839,0.564961
0.44,0.744351,0.664425
0.441,0.771121,0.719469
0.442,0.793698,0.702409
0.443,0.819823,0.72816
0.444,0.844012,0.706915
0.445,0.864009,0.647365
0.446,0.893036,0.573652
0.447,0.916258,0.545969
0.448,0.937223,0.498651
0.449,0.963993,0.470969
0.45,0.984957,0.514746
0.451,1.011404,0.555948
0.452,1.036561,0.610026
0.453,1.059783,0.696615
0.454,1.084296,0.844685
0.455,1.107195,0.922261
0.456,1.13203,0.987605
0.457,1.154607,1.09737
0.458,1.175248,1.129237
0.459,1.198148,1.115718
0.46,1.22524,1.113786
0.461,1.248462,1.095439
0.462,1.274265,1.005953
0.463,1.300389,0.955094
0.464,1.322966,0.934493
0.465,1.348446,0.879449
0.466,1.371023,0.87623
0.467,1.398761,0.943506
0.468,1.421015,0.967004
0.469,1.442947,1.034601
0.47,1.469072,1.14501
0.471,1.490359,1.263788
0.472,1.513258,1.339755
0.473,1.537125,1.434391
0.474,1.560025,1.50392
0.475,1.587762,1.511001
0.476,1.613242,1.519693
0.477,1.636464,1.51583
0.478,1.661299,1.479134
0.479,1.683231,1.379669
0.48,1.703873,1.344261
0.481,1.729997,1.326879
0.482,1.753542,1.266685
0.483,1.778699,1.28117
0.484,1.803856,1.341364
0.485,1.825466,1.394155
